daan1	25.027268	121.536138	140	80
daan2	25.027268	121.536138	90	80
daan3	25.027268	121.536138	-45	80
daan4	25.027268	121.536138	30	80
daan5	25.027268	121.536138	0	80
free1	25.036933503646907	121.51812675183562	-87.7	80.10000000000001
free2	25.03693508707239	121.51812824555103	-170.60000000000002	80.10000000000001
free3	25.036935019355486	121.51812916400362	149.1	80.0
free4	25.036935126734278	121.51812983168088	100.10000000000001	79.9
gf1	25.040343845759512	121.56099407398118	159.5	73.0
gf2	25.040348641919046	121.56099233646111	110.30000000000001	73.10000000000001
gf3	25.04034807905189	121.56098660727301	42.400000000000006	82.4
gf4	25.040341054816547	121.56098940755578	-110.80000000000001	81.80000000000001
tp1	25.038409239450075	121.5629452419715	-127.0	72.0
tp2	25.03840567138332	121.5629535830651	145.9	90.9
tp3	25.038413332790835	121.56294187124657	67.60000000000001	101.0
tp4	25.038406505803927	121.5629406425561	-0.30000000000000004	101.10000000000001
tp5	25.038409295047995	121.56294364924558	-65.60000000000001	101.10000000000001
daan6	25.027458228229392	121.53640720225971	119.60000000000001	62.5	6 00:52
daan7	25.02745820364802	121.53640918365812	38.900000000000006	62.300000000000004	6 	01:09
daan8	25.027458455002236	121.53640787178384	-35.6	62.400000000000006	6	01:16
daan9	25.02745712948286	121.53640575586684	167.70000000000002	62.300000000000004	6	01:30
daan10	25.027198732120333	121.53632354113056	-94.4	62.1	6	02:07
daan11	25.027197484118815	121.53632672114482	-146.8	62.1	6	02:15
daan12	25.028313408360393	121.53642303021097	26.700000000000003	65.9	6	03:58
daan13	25.028315196877443	121.53642372133639	-102.10000000000001	66.4	6	04:08
daan14	25.03125092731076	121.5360191735138	83.4	80.7	7	01:55
daan15	25.03125064944423	121.53601851936047	43.300000000000004	80.60000000000001	7	01:59
daan16	25.031253935491687	121.53602106041616	12.8	80.5	7	02:05
daan17	25.031321445559495	121.53603747157308	150.9	65.60000000000001	7	02:43
daan18	25.031412758554453	121.53602394228177	-21.900000000000002	65.5	7	03:15
daan19	25.031322537827066	121.53604023009565	-69.7	65.60000000000001	7	02:55
daan20	25.031321432074037	121.53603842719642	-154.5	65.60000000000001	7	02:46
gf5	25.040664354497515	121.56002909795659	49.400000000000006	80.30000000000001	8	05:23
gf6	25.040667171636713	121.56002870621148	88.9	80.30000000000001	8	05:24
gf7	25.04066625709227	121.56002965724599	116.10000000000001	80.4	8	05:26
gf8	25.04066638001475	121.56002624489678	165.10000000000002	80.30000000000001	8	05:29
gf9	25.040667132890736	121.56002812887384	-161.8	80.30000000000001	8	05:32
gf10	25.04066614040176	121.56002763734622	-138.0	80.30000000000001	8	05:35
gf11	25.040594847898937	121.55969867814449	-93.80000000000001	80.30000000000001	8	05:50
gf12	25.04097496836854	121.55960205591406	-70.60000000000001	80.10000000000001	8	06:29
gf13	25.03914570582788	121.55875965095883	-88.60000000000001	69.4	9	04:33
gf14	25.039148624226296	121.55875972316217	-155.4	70.0	9	04:42
gf15	25.039146739516966	121.55875923992028	170.4	69.7	9	04:48
gf16	25.03914447873218	121.55875838930055	116.4	73.0	9	05:04
gf17	25.03925016138933	121.55861645191145	89.7	72.8	9	05:20
gf18	25.039290454976765	121.55887875041546	-30.700000000000003	73.0	9	06:04
gf19	25.039413936069835	121.55903089210888	31.700000000000003	88.0	11	00:45
gf20	25.038978661674633	121.5589976976789	73.9	87.9	11	01:44
gf21	25.038980905930895	121.5589966273998	-13.3	88.2	11	01:50
free5	25.036934634511134	121.51812791641194	11.3	69.9	7	02:45
free6	25.036935572711425	121.51812913542382	-21.1	78.0	7	02:55
free7	25.035065030256973	121.5199228493961	-57.0	63.7	12	01:43
free8	25.035068727201462	121.51992597237275	-109.2	63.800000000000004	12	02:00
free9	25.035068103249017	121.51992318516245	-147.0	63.7	12	02:09
free10	25.03506741970952	121.51992193933083	166.20000000000002	63.800000000000004	12	02:16
free11	25.035062029740384	121.51992342814401	74.0	73.9	12	02:42
free12	25.03506602742459	121.51992324442365	40.400000000000006	74.10000000000001	12	02:51
free13	25.03575260923178	121.52062984101413	-4.800000000000001	73.9	12	03:29
free14	25.03575607486062	121.52062485283946	-33.1	74.10000000000001	12	03:37
free15	25.035757215334723	121.52062798488869	-94.9	74.2	12	03:51
free16	25.035759743958295	121.52062228088705	111.60000000000001	74.10000000000001	12	04:09
free17	25.035758870160073	121.5206235069904	65.0	74.0	12	04:15
free18	25.035405363971666	121.52122456825059	15.5	73.8	12	04:37
free19	25.035407999137323	121.52122139545449	142.5	74.2	12	05:03
free20	25.035407207614433	121.52122161946428	60.800000000000004	74.2	12	05:14
free21	25.03506741878339	121.5199222081455	-16.3	64.2	12	01:35
free22	25.036038973228322	121.51867674522991	-55.1	74.0	12	07:29
free23	25.036156543400544	121.51847800264652	-142.4	74.5	12	07:48
free24	25.036158937387572	121.51848118654055	171.4	74.10000000000001	12	07:56
free25	25.036154438409927	121.51847768554191	98.4	73.8	12	08:10
free26	25.03615159294976	121.51847765778065	0.0	73.7	12	08:26
free27	25.03615442694084	121.5184788942121	-14.9	73.7	12	08:29
free28	25.03585560987261	121.51840207899329	-67.10000000000001	74.3	12	08:48
free29	25.035760273907133	121.51837875175877	-167.9	74.2	12	09:02
free30	25.034243537648557	121.52066675247659	130.8	73.4	13	01:02
free31	25.034189591902994	121.52070486675876	18.900000000000002	73.5	13	01:10
free32	25.034195636031544	121.52070277602425	-43.0	73.7	13	01:16
free33	25.03419294037707	121.52070492565585	-102.4	73.7	13	01:22
free34	25.03507163411936	121.51992575838598	35.9	62.2	12	01:26
